"Area","MTU","Biomass - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","08.08.2024 00:00 - 08.08.2024 01:00 (CET/CEST)","3","n/e","n/e","74","308","14","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1","57","411","465"
"BZN|DK1","08.08.2024 01:00 - 08.08.2024 02:00 (CET/CEST)","3","n/e","n/e","62","352","14","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1","57","347","402"
"BZN|DK1","08.08.2024 02:00 - 08.08.2024 03:00 (CET/CEST)","3","n/e","n/e","61","263","13","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1","57","522","305"
"BZN|DK1","08.08.2024 03:00 - 08.08.2024 04:00 (CET/CEST)","3","n/e","n/e","62","194","14","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1","57","642","319"
"BZN|DK1","08.08.2024 04:00 - 08.08.2024 05:00 (CET/CEST)","3","n/e","n/e","62","289","14","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1","57","484","304"
"BZN|DK1","08.08.2024 05:00 - 08.08.2024 06:00 (CET/CEST)","3","n/e","n/e","63","337","14","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","2","56","340","325"
"BZN|DK1","08.08.2024 06:00 - 08.08.2024 07:00 (CET/CEST)","3","n/e","n/e","72","320","15","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","75","57","386","328"
"BZN|DK1","08.08.2024 07:00 - 08.08.2024 08:00 (CET/CEST)","3","n/e","n/e","87","322","15","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2","205","56","439","262"
"BZN|DK1","08.08.2024 08:00 - 08.08.2024 09:00 (CET/CEST)","3","n/e","n/e","71","351","15","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","368","57","379","217"
"BZN|DK1","08.08.2024 09:00 - 08.08.2024 10:00 (CET/CEST)","3","n/e","n/e","66","328","15","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","598","57","375","239"
