,CSTR,Hydrocyclone,Centrifuge,Pump,Total,
0,9.87E-05,9.51E-06,6.22E-05,2.78E-05,0.000833306,0.000198
1,9.99E-05,1.63E-05,6.11E-05,0.000101408,0.000208091,0.000279
2,0.000111682,1.80E-05,8.04E-05,0.000109497,0.000455058,0.000320
3,0.000312032,7.32E-06,0.000157282,2.38E-05,0.000362584,0.000500
4,9.41E-05,1.26E-05,0.000172491,3.84E-05,0.000204307,0.000318
5,0.000432198,3.70E-05,0.000394621,3.90E-05,0.000179213,0.000903
6,0.000107078,1.14E-05,8.46E-05,9.15E-05,0.000200943,0.000295
7,0.000306738,1.21E-05,0.00019415,4.38E-05,0.000224981,0.000557
8,0.000280073,1.36E-05,0.000102202,4.74E-05,0.000269071,0.000443
9,0.000363676,3.50E-05,0.00010701,5.08E-05,0.000607915,0.000556
10,0.000288319,1.79E-05,0.00017501,4.52E-05,0.000587189,0.000526
11,0.000228421,2.55E-05,0.000140812,6.41E-05,0.00028559,0.000459
12,0.000250053,3.29E-05,0.000173384,9.38E-05,0.000489729,0.000550
13,0.00014847,1.53E-05,0.000119022,3.68E-05,0.000455788,0.000320
14,0.000114872,2.33E-05,0.000124596,4.29E-05,0.000419922,0.000306
15,0.000179572,1.74E-05,7.84E-05,4.27E-05,0.000383747,0.000318
16,0.000183775,1.23E-05,0.000146933,3.87E-05,0.000411463,0.000382
17,0.000152318,1.28E-05,8.88E-05,4.58E-05,0.000422543,0.000300
18,0.000133781,3.16E-05,8.70E-05,3.56E-05,0.000246069,0.000288
19,0.000340403,1.16E-05,0.000262007,3.44E-05,0.000648254,0.000648
20,0.000117739,7.69E-05,0.000300512,2.90E-05,0.000226326,0.000524
21,0.000670894,1.20E-05,8.85E-05,3.83E-05,0.000241267,0.000810
22,0.000385721,3.83E-05,7.15E-05,0.000119125,0.000288816,0.000615
23,0.000363106,7.46E-06,0.000159055,2.29E-05,0.000164874,0.000553
,,,,,,0.010966
